STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600221,117,305,38,11,-39
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600222,25,229,0,11,-44
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600223,0,229,0,6,-89
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600224,0,229,0,22,-50
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600225,0,229,0,28,-56
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600226,0,203,0,44,-83
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600227,0,203,0,50,-100
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600228,0,203,0,33,-144
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600229,0,203,0,39,-161
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600301,0,203,0,17,-161
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600302,0,178,0,39,-183
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600303,0,178,0,44,-189
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600304,0,178,0,22,-172
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600305,0,178,0,-22,-100
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600306,0,178,0,-56,-106
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600307,0,178,0,-33,-111
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600308,0,178,0,-28,-94
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600309,0,178,0,-78,-156
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600310,0,178,0,-61,-161
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600311,0,178,0,-39,-106
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600312,0,178,0,-28,-150
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600313,0,178,0,17,-139
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600314,0,178,0,0,-194
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600315,30,178,38,-61,-156
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600316,23,203,33,-6,-83
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600317,5,203,5,22,-44
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600318,18,254,25,-28,-83
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600319,0,254,0,0,-111
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600320,0,203,0,0,-67
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600321,0,203,0,22,-67
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600322,0,203,0,39,-33
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600323,5,178,0,56,-11
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600324,0,178,0,44,-11
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600325,0,178,0,28,-61
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600326,0,152,0,50,-67
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600327,0,152,0,44,-50
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600328,0,152,0,11,-72
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600329,0,152,0,-17,-156
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600330,0,127,0,6,-117
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600331,0,127,0,28,-144
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600401,0,127,0,0,-150
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600402,0,127,0,-17,-150
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600403,0,102,0,-33,-122
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600404,0,102,0,-22,-183
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600405,0,102,0,39,-83
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600406,13,102,13,61,-50
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600407,18,102,15,17,-50
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600408,5,102,5,0,-44
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600409,8,102,8,0,-61
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600410,0,102,0,0,-133
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600411,0,76,0,22,-94
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600412,0,76,0,67,-33
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600413,0,76,0,72,-56
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600414,0,0,0,89,0
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600415,0,0,0,61,-33
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600416,0,0,0,72,-50
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600417,0,0,0,78,-44
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600418,0,0,0,33,-11
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600419,0,0,0,28,-28
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600420,0,0,0,33,-22
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600421,0,0,0,11,-50
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600422,10,0,10,61,-39
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600423,43,0,0,83,-6
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600424,0,0,0,78,-33
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600425,0,0,0,61,11
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600426,30,0,0,67,0
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600427,0,0,0,94,-6
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600428,0,0,0,117,28
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600429,0,0,0,144,17
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600430,0,0,0,106,22
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600501,0,0,0,144,44
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600502,0,0,0,106,6
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600503,0,0,0,72,0
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600504,0,0,0,100,6
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600505,3,0,0,139,33
